"Payment_ID","Member_ID","Subscription_ID","Payment_Date","Final_Amount","Payment_Mode"
"P00058","M1119","S058","2022-02-13","1770","Cash"
"P00059","M2190","S059","2022-02-13","5074","UPI"
"P00060","M2229","S060","2022-02-13","18880","Card"
"P00061","M2567","S061","2022-02-13","5546","Cash"
"P00062","M5090","S062","2022-02-13","22420","UPI"
"P00063","M3428","S063","2022-02-14","5074","Net Banking"
"P00064","M1237","S064","2022-02-15","2124","UPI"
"P00065","M1418","S065","2022-02-15","2124","Cash"
"P00066","M2241","S066","2022-02-15","5074","Card"
"P00067","M2245","S067","2022-02-15","5074","Net Banking"
"P00068","M3232","S068","2022-02-15","2124","UPI"
"P00069","M549","S069","2022-02-15","2124","Card"
"P00070","M2920","S070","2022-02-16","2124","Cash"
"P00071","M4923","S071","2022-02-16","1770","Net Banking"
"P00072","M5089","S072","2022-02-16","5546","Net Banking"
"P00073","M5131","S073","2022-02-16","5074","Card"
"P00074","M1662","S074","2022-02-17","1770","Card"
"P00075","M3555","S075","2022-02-17","2124","Card"
"P00076","M528","S076","2022-02-17","22420","Cash"
"P00077","M597","S077","2022-02-17","2124","Net Banking"
"P00078","M1361","S078","2022-02-18","22420","Card"
"P00079","M611","S079","2022-02-18","1770","Net Banking"
"P00080","M3943","S080","2022-02-19","18880","Net Banking"
"P00081","M3381","S081","2022-02-20","2124","UPI"
"P00082","M3802","S082","2022-02-20","1770","Net Banking"
"P00083","M4840","S083","2022-02-20","22420","Cash"
"P00084","M2964","S084","2022-02-21","2124","UPI"
"P00085","M313","S085","2022-02-21","2124","Net Banking"
"P00086","M4073","S086","2022-02-21","1770","Cash"
"P00087","M5433","S087","2022-02-21","5074","Card"
"P00088","M092","S088","2022-02-22","2124","UPI"
"P00089","M2144","S089","2022-02-22","2124","Net Banking"
"P00090","M3110","S090","2022-02-22","22420","Card"
"P00091","M3450","S091","2022-02-22","2124","Net Banking"
"P00092","M3765","S092","2022-02-22","1770","Cash"
"P00093","M3906","S093","2022-02-22","2124","Card"
"P00094","M4498","S094","2022-02-22","22420","Net Banking"
"P00095","M3223","S095","2022-02-23","22420","Card"
"P00096","M367","S096","2022-02-23","5546","Cash"
"P00097","M4177","S097","2022-02-23","2124","UPI"
"P00098","M4382","S098","2022-02-23","1770","Net Banking"
"P00099","M5073","S099","2022-02-23","1770","Cash"
"P00100","M5196","S100","2022-02-23","2124","Net Banking"
"P00101","M164","S101","2022-02-24","5546","Cash"
"P00102","M196","S102","2022-02-24","1770","Card"
"P00103","M208","S103","2022-02-24","1770","UPI"
"P00104","M2275","S104","2022-02-24","2124","Card"
"P00105","M978","S105","2022-02-24","5074","UPI"
"P00106","M1103","S106","2022-02-25","2124","UPI"
"P00107","M2930","S107","2022-02-25","1770","UPI"
"P00108","M215","S108","2022-02-26","2124","Card"
"P00109","M5022","S109","2022-02-26","1770","Cash"
"P00110","M2935","S110","2022-02-27","1770","Net Banking"
"P00111","M5394","S111","2022-02-27","1770","Card"
"P00112","M067","S112","2022-02-28","18880","Net Banking"
"P00113","M1258","S113","2022-02-28","1770","Card"
"P00114","M2616","S114","2022-02-28","2124","Card"
"P00115","M1702","S115","2022-03-01","5546","Card"
"P00116","M3361","S116","2022-03-01","1770","Net Banking"
"P00117","M4046","S117","2022-03-01","1770","Cash"
"P00118","M3278","S118","2022-03-02","5074","Card"
"P00119","M5139","S119","2022-03-02","2124","Cash"
"P00120","M2383","S120","2022-03-03","1770","Net Banking"
"P00121","M2839","S121","2022-03-03","1770","UPI"
"P00122","M2941","S122","2022-03-03","5074","UPI"
"P00123","M3271","S123","2022-03-03","1770","Net Banking"
"P00124","M459","S124","2022-03-03","2124","Cash"
"P00125","M912","S125","2022-03-03","2124","Net Banking"
"P00126","M983","S126","2022-03-03","5074","Card"
"P00127","M1194","S127","2022-03-04","22420","Cash"
"P00128","M139","S128","2022-03-04","22420","Cash"
"P00129","M1549","S129","2022-03-04","1770","Card"
"P00130","M2942","S130","2022-03-04","2124","Net Banking"
"P00131","M3487","S131","2022-03-04","18880","UPI"
"P00132","M3757","S132","2022-03-04","1770","Card"
"P00133","M5362","S133","2022-03-04","22420","Card"
"P00134","M832","S134","2022-03-04","1770","Net Banking"
"P00135","M1475","S135","2022-03-05","2124","Card"
"P00136","M1835","S136","2022-03-05","1770","Net Banking"
"P00137","M2392","S137","2022-03-05","5074","Net Banking"
"P00138","M2538","S138","2022-03-06","1770","Net Banking"
"P00139","M1091","S139","2022-03-07","5546","Net Banking"
"P00140","M1967","S140","2022-03-07","18880","Cash"
"P00141","M2295","S141","2022-03-07","2124","Card"
"P00142","M3421","S142","2022-03-07","22420","Net Banking"
"P00143","M4074","S143","2022-03-07","22420","Net Banking"
"P00144","M1172","S144","2022-03-08","1770","Net Banking"
"P00145","M1199","S145","2022-03-08","5074","Card"
"P00146","M3304","S146","2022-03-08","1770","Card"
"P00147","M3769","S147","2022-03-08","18880","Net Banking"
"P00148","M4963","S148","2022-03-08","1770","UPI"
"P00149","M1218","S149","2022-03-09","5546","Net Banking"
"P00150","M2000","S150","2022-03-09","18880","Card"
"P00151","M049","S151","2022-03-10","2124","Card"
"P00152","M1049","S152","2022-03-10","1770","Cash"
"P00153","M2108","S153","2022-03-10","18880","UPI"
"P00154","M383","S154","2022-03-10","2124","UPI"
"P00155","M2087","S155","2022-03-11","5546","UPI"
"P00156","M2260","S156","2022-03-11","2124","Card"
"P00157","M2609","S157","2022-03-11","18880","Card"
"P00158","M4526","S158","2022-03-11","18880","UPI"
"P00159","M2793","S159","2022-03-12","22420","UPI"
"P00160","M3321","S160","2022-03-12","2124","UPI"
"P00161","M5042","S161","2022-03-13","22420","UPI"
"P00162","M1540","S162","2022-03-14","1770","Cash"
"P00163","M1619","S163","2022-03-14","5546","Net Banking"
"P00164","M4625","S164","2022-03-14","1770","Cash"
"P00165","M4932","S165","2022-03-14","18880","Cash"
"P00166","M942","S166","2022-03-14","2124","Cash"
"P00167","M1119","S167","2022-03-15","5074","UPI"
"P00168","M1255","S168","2022-03-15","1770","UPI"
"P00169","M1521","S169","2022-03-15","5546","Net Banking"
"P00170","M2846","S170","2022-03-15","18880","Card"
"P00171","M3068","S171","2022-03-15","1770","Card"
"P00172","M3230","S172","2022-03-15","1770","UPI"
"P00173","M361","S173","2022-03-15","2124","Card"
"P00174","M902","S174","2022-03-15","2124","Net Banking"
"P00175","M2606","S175","2022-03-16","2124","Card"
"P00176","M3858","S176","2022-03-16","2124","Net Banking"
"P00177","M4702","S177","2022-03-16","2124","Cash"
"P00178","M1237","S178","2022-03-17","18880","Card"
"P00179","M1418","S179","2022-03-17","2124","Cash"
"P00180","M1808","S180","2022-03-17","5546","Net Banking"
"P00181","M1937","S181","2022-03-17","22420","Net Banking"
"P00182","M3232","S182","2022-03-17","5074","UPI"
"P00183","M3778","S183","2022-03-17","1770","Cash"
"P00184","M549","S184","2022-03-17","1770","Card"
"P00185","M1654","S185","2022-03-18","1770","Cash"
"P00186","M2134","S186","2022-03-18","18880","Cash"
"P00187","M2409","S187","2022-03-18","2124","UPI"
"P00188","M2920","S188","2022-03-18","1770","Net Banking"
"P00189","M4532","S189","2022-03-18","2124","Net Banking"
"P00190","M4923","S190","2022-03-18","5074","Cash"
"P00191","M658","S191","2022-03-18","18880","UPI"
"P00192","M797","S192","2022-03-18","1770","UPI"
"P00193","M1236","S193","2022-03-19","5074","Net Banking"
"P00194","M1662","S194","2022-03-19","5546","Net Banking"
"P00195","M3555","S195","2022-03-19","22420","UPI"
"P00196","M507","S196","2022-03-19","2124","Net Banking"
"P00197","M5517","S197","2022-03-19","1770","Cash"
"P00198","M597","S198","2022-03-19","5074","Cash"
"P00199","M1601","S199","2022-03-20","1770","Card"
"P00200","M2209","S200","2022-03-20","1770","Cash"
"P00201","M4791","S201","2022-03-20","1770","Cash"
"P00202","M5269","S202","2022-03-20","2124","Net Banking"
"P00203","M611","S203","2022-03-20","18880","Cash"
"P00204","M066","S204","2022-03-21","1770","Card"
"P00205","M2582","S205","2022-03-21","22420","Cash"
"P00206","M393","S206","2022-03-21","5074","Cash"
"P00207","M4393","S207","2022-03-21","5546","Card"
"P00208","M4400","S208","2022-03-21","2124","Net Banking"
"P00209","M5156","S209","2022-03-21","2124","Net Banking"
"P00210","M2115","S210","2022-03-22","1770","Card"
"P00211","M3018","S211","2022-03-22","22420","Cash"
"P00212","M3381","S212","2022-03-22","18880","Net Banking"
"P00213","M3802","S213","2022-03-22","5546","Card"
"P00214","M2508","S214","2022-03-23","5074","Cash"
"P00215","M2964","S215","2022-03-23","5546","Card"
"P00216","M313","S216","2022-03-23","5546","Cash"
"P00217","M4073","S217","2022-03-23","1770","UPI"
"P00218","M409","S218","2022-03-23","2124","Net Banking"
"P00219","M092","S219","2022-03-24","5546","Card"
"P00220","M2144","S220","2022-03-24","2124","UPI"
"P00221","M2697","S221","2022-03-24","22420","Net Banking"
"P00222","M2994","S222","2022-03-24","1770","UPI"
"P00223","M3450","S223","2022-03-24","22420","Card"
"P00224","M3765","S224","2022-03-24","22420","Cash"
"P00225","M3906","S225","2022-03-24","1770","Cash"
"P00226","M477","S226","2022-03-24","5074","Cash"
"P00227","M4974","S227","2022-03-24","2124","Card"
"P00228","M683","S228","2022-03-24","5546","Net Banking"
"P00229","M2786","S229","2022-03-25","1770","Cash"
"P00230","M4177","S230","2022-03-25","22420","Net Banking"
"P00231","M4382","S231","2022-03-25","5546","Cash"
"P00232","M5073","S232","2022-03-25","5546","UPI"
"P00233","M5196","S233","2022-03-25","5546","UPI"
"P00234","M196","S234","2022-03-26","18880","Card"
"P00235","M208","S235","2022-03-26","18880","Card"
"P00236","M2275","S236","2022-03-26","5546","Card"
"P00237","M5634","S237","2022-03-26","5546","Net Banking"
"P00238","M800","S238","2022-03-26","18880","Net Banking"
"P00239","M1103","S239","2022-03-27","5546","Card"
"P00240","M1574","S240","2022-03-27","22420","Cash"
"P00241","M1617","S241","2022-03-27","1770","Cash"
"P00242","M2930","S242","2022-03-27","5074","Card"
"P00243","M215","S243","2022-03-28","2124","Net Banking"
"P00244","M4765","S244","2022-03-28","5074","UPI"
"P00245","M5022","S245","2022-03-28","18880","Cash"
"P00246","M5443","S246","2022-03-28","5074","UPI"
"P00247","M5453","S247","2022-03-28","2124","Cash"
"P00248","M2414","S248","2022-03-29","22420","Cash"
"P00249","M2935","S249","2022-03-29","5074","UPI"
"P00250","M3163","S250","2022-03-29","18880","Cash"
"P00251","M4019","S251","2022-03-29","2124","Cash"
"P00252","M5394","S252","2022-03-29","22420","UPI"
"P00253","M555","S253","2022-03-29","1770","UPI"
"P00254","M1258","S254","2022-03-30","5546","UPI"
"P00255","M1976","S255","2022-03-30","22420","Net Banking"
"P00256","M2054","S256","2022-03-30","22420","Net Banking"
"P00257","M2616","S257","2022-03-30","18880","UPI"
"P00258","M3378","S258","2022-03-30","1770","Card"
"P00259","M3560","S259","2022-03-30","22420","UPI"
"P00260","M4662","S260","2022-03-30","2124","Card"
"P00261","M1933","S261","2022-03-31","1770","Cash"
"P00262","M2164","S262","2022-03-31","2124","Card"
"P00263","M3361","S263","2022-03-31","2124","Cash"
"P00264","M4046","S264","2022-03-31","5074","Card"
"P00265","M4209","S265","2022-03-31","22420","Net Banking"
"P00266","M5569","S266","2022-03-31","5074","UPI"
"P00267","M5607","S267","2022-03-31","1770","Cash"
"P00268","M826","S268","2022-03-31","2124","Cash"
"P00269","M252","S269","2022-04-01","1770","UPI"
"P00270","M5139","S270","2022-04-01","22420","Card"
"P00271","M1314","S271","2022-04-02","2124","Cash"
"P00272","M1721","S272","2022-04-02","2124","Card"
"P00273","M2383","S273","2022-04-02","22420","Cash"
"P00274","M271","S274","2022-04-02","2124","Cash"
"P00275","M2839","S275","2022-04-02","18880","UPI"
"P00276","M3271","S276","2022-04-02","22420","UPI"
"P00277","M3424","S277","2022-04-02","2124","Cash"
"P00278","M459","S278","2022-04-02","1770","Net Banking"
"P00279","M5140","S279","2022-04-02","1770","Net Banking"
"P00280","M5378","S280","2022-04-02","2124","Card"
"P00281","M577","S281","2022-04-02","5546","UPI"
"P00282","M912","S282","2022-04-02","22420","Net Banking"
"P00283","M025","S283","2022-04-03","1770","Cash"
"P00284","M1549","S284","2022-04-03","1770","Cash"
"P00285","M2075","S285","2022-04-03","22420","Card"
"P00286","M2390","S286","2022-04-03","1770","Card"
"P00287","M2942","S287","2022-04-03","5546","Net Banking"
"P00288","M3757","S288","2022-04-03","2124","Cash"
"P00289","M496","S289","2022-04-03","5074","UPI"
"P00290","M832","S290","2022-04-03","22420","UPI"
"P00291","M1475","S291","2022-04-04","2124","Cash"
"P00292","M1835","S292","2022-04-04","1770","Cash"
"P00293","M3317","S293","2022-04-04","5074","Cash"
"P00294","M3972","S294","2022-04-04","1770","UPI"
"P00295","M4811","S295","2022-04-04","5546","Cash"
"P00296","M5009","S296","2022-04-04","2124","UPI"
"P00297","M915","S297","2022-04-04","2124","Cash"
"P00298","M1173","S298","2022-04-05","1770","Net Banking"
"P00299","M2538","S299","2022-04-05","5546","Card"
"P00300","M4466","S300","2022-04-05","1770","Cash"
"P00301","M964","S301","2022-04-05","2124","Cash"
"P00302","M152","S302","2022-04-05","18880","Card"
"P00303","M295","S303","2022-04-05","18880","UPI"
"P00304","M1493","S304","2022-04-06","5074","Cash"
"P00305","M1710","S305","2022-04-06","1770","Cash"
"P00306","M2040","S306","2022-04-06","2124","Net Banking"
"P00307","M2295","S307","2022-04-06","5074","Card"
"P00308","M277","S308","2022-04-06","2124","Card"
"P00309","M3165","S309","2022-04-06","1770","UPI"
"P00310","M2376","S310","2022-04-06","22420","Cash"
"P00311","M1172","S311","2022-04-07","5074","Cash"
"P00312","M1445","S312","2022-04-07","5074","UPI"
"P00313","M1661","S313","2022-04-07","2124","Cash"
"P00314","M3304","S314","2022-04-07","1770","Card"
"P00315","M4963","S315","2022-04-07","22420","Cash"
"P00316","M4181","S316","2022-04-07","22420","Net Banking"
"P00317","M134","S317","2022-04-08","1770","Card"
"P00318","M1557","S318","2022-04-08","5546","Cash"
"P00319","M191","S319","2022-04-08","22420","UPI"
"P00320","M444","S320","2022-04-08","22420","Net Banking"
"P00321","M049","S321","2022-04-09","5074","Net Banking"
"P00322","M1049","S322","2022-04-09","5074","Cash"
"P00323","M383","S323","2022-04-09","2124","UPI"
"P00324","M3608","S324","2022-04-09","22420","UPI"
"P00325","M2260","S325","2022-04-10","2124","UPI"
"P00326","M4186","S326","2022-04-10","5546","Card"
"P00327","M5505","S327","2022-04-10","5074","Cash"
"P00328","M3308","S328","2022-04-10","18880","Net Banking"
"P00329","M4395","S329","2022-04-10","18880","Card"
"P00330","M2335","S330","2022-04-11","5074","Card"
"P00331","M2489","S331","2022-04-11","5074","Cash"
"P00332","M256","S332","2022-04-11","1770","Cash"
"P00333","M3321","S333","2022-04-11","1770","Net Banking"
"P00334","M4752","S334","2022-04-11","5074","Card"
"P00335","M2662","S335","2022-04-11","18880","Cash"
"P00336","M2992","S336","2022-04-11","22420","Cash"
"P00337","M1608","S337","2022-04-12","1770","Net Banking"
"P00338","M2757","S338","2022-04-12","1770","Cash"
"P00339","M4296","S339","2022-04-12","1770","UPI"
"P00340","M4631","S340","2022-04-12","1770","UPI"
"P00341","M5473","S341","2022-04-12","1770","UPI"
"P00342","M056","S342","2022-04-12","18880","Net Banking"
"P00343","M412","S343","2022-04-12","18880","UPI"
"P00344","M3735","S344","2022-04-12","22420","Card"
"P00345","M1155","S345","2022-04-13","2124","Cash"
"P00346","M1540","S346","2022-04-13","2124","UPI"
"P00347","M4625","S347","2022-04-13","5074","Cash"
"P00348","M942","S348","2022-04-13","22420","Cash"
"P00349","M1098","S349","2022-04-14","1770","Cash"
"P00350","M1255","S350","2022-04-14","5074","UPI"
"P00351","M1330","S351","2022-04-14","5546","UPI"
"P00352","M3068","S352","2022-04-14","1770","Net Banking"
"P00353","M3230","S353","2022-04-14","22420","Net Banking"
"P00354","M361","S354","2022-04-14","18880","Card"
"P00355","M3692","S355","2022-04-14","5546","Cash"
"P00356","M570","S356","2022-04-14","2124","Cash"
"P00357","M902","S357","2022-04-14","2124","Cash"
"P00358","M031","S358","2022-04-15","1770","Cash"
"P00359","M1063","S359","2022-04-15","1770","UPI"
"P00360","M1900","S360","2022-04-15","5074","Card"
"P00361","M2454","S361","2022-04-15","1770","UPI"
"P00362","M2606","S362","2022-04-15","18880","UPI"
"P00363","M3858","S363","2022-04-15","22420","UPI"
"P00364","M399","S364","2022-04-15","5546","UPI"
"P00365","M4484","S365","2022-04-15","2124","Net Banking"
"P00366","M4702","S366","2022-04-15","1770","Net Banking"
"P00367","M3125","S367","2022-04-15","18880","Net Banking"
"P00368","M1418","S368","2022-04-16","5546","UPI"
"P00369","M3778","S369","2022-04-16","2124","Card"
"P00370","M4065","S370","2022-04-16","1770","Card"
"P00371","M549","S371","2022-04-16","5546","Net Banking"
"P00372","M1261","S372","2022-04-16","18880","Cash"
"P00373","M1654","S373","2022-04-17","1770","Cash"
"P00374","M2409","S374","2022-04-17","2124","Card"
"P00375","M2920","S375","2022-04-17","22420","Net Banking"
"P00376","M3397","S376","2022-04-17","18880","Net Banking"
"P00377","M3521","S377","2022-04-17","1770","Cash"
"P00378","M4261","S378","2022-04-17","2124","Net Banking"
"P00379","M4532","S379","2022-04-17","2124","Card"
"P00380","M797","S380","2022-04-17","1770","Card"
"P00381","M168","S381","2022-04-17","22420","Cash"
"P00382","M4047","S382","2022-04-18","5546","Net Banking"
"P00383","M507","S383","2022-04-18","1770","UPI"
"P00384","M5517","S384","2022-04-18","22420","Card"
"P00385","M4336","S385","2022-04-18","18880","Net Banking"
"P00386","M1601","S386","2022-04-19","5074","UPI"
"P00387","M2209","S387","2022-04-19","5074","Net Banking"
"P00388","M4791","S388","2022-04-19","18880","Cash"
"P00389","M4817","S389","2022-04-19","2124","Card"
"P00390","M5269","S390","2022-04-19","18880","UPI"
"P00391","M779","S391","2022-04-19","5074","Cash"
"P00392","M066","S392","2022-04-20","18880","Net Banking"
"P00393","M1099","S393","2022-04-20","5546","Cash"
"P00394","M4159","S394","2022-04-20","5546","Net Banking"
"P00395","M4400","S395","2022-04-20","1770","UPI"
"P00396","M5156","S396","2022-04-20","22420","Card"
"P00397","M1135","S397","2022-04-20","22420","Card"
"P00398","M1115","S398","2022-04-21","1770","UPI"
"P00399","M2115","S399","2022-04-21","5074","Cash"
"P00400","M2349","S400","2022-04-21","2124","Card"
"P00401","M5581","S401","2022-04-21","2124","Net Banking"
"P00402","M024","S402","2022-04-21","22420","Net Banking"
"P00403","M1122","S403","2022-04-22","22420","Card"
"P00404","M3096","S404","2022-04-22","5546","Card"
"P00405","M4073","S405","2022-04-22","1770","UPI"
"P00406","M409","S406","2022-04-22","5074","Card"
"P00407","M4168","S407","2022-04-22","5074","Cash"
"P00408","M4717","S408","2022-04-22","2124","Card"
"P00409","M1793","S409","2022-04-23","5546","Card"
"P00410","M2144","S410","2022-04-23","22420","Cash"
"P00411","M2312","S411","2022-04-23","2124","Card"
"P00412","M2994","S412","2022-04-23","22420","Cash"
"P00413","M3906","S413","2022-04-23","22420","Cash"
"P00414","M4280","S414","2022-04-23","5546","Net Banking"
"P00415","M4974","S415","2022-04-23","5074","Cash"
"P00416","M989","S416","2022-04-23","2124","Net Banking"
"P00417","M1036","S417","2022-04-23","22420","Cash"
"P00418","M2786","S418","2022-04-24","2124","UPI"
"P00419","M572","S419","2022-04-24","1770","Net Banking"
"P00420","M1346","S420","2022-04-24","22420","Net Banking"
"P00421","M571","S421","2022-04-25","18880","Cash"
"P00422","M3524","S422","2022-04-25","18880","Net Banking"
"P00423","M1617","S423","2022-04-26","18880","UPI"
"P00424","M2563","S424","2022-04-26","2124","UPI"
"P00425","M3129","S425","2022-04-26","5074","Net Banking"
"P00426","M4018","S426","2022-04-26","1770","Cash"
"P00427","M4234","S427","2022-04-26","2124","Cash"
"P00428","M1348","S428","2022-04-26","18880","Cash"
"P00429","M1083","S429","2022-04-27","2124","Cash"
"P00430","M215","S430","2022-04-27","5546","Cash"
"P00431","M4684","S431","2022-04-27","5546","UPI"
"P00432","M5453","S432","2022-04-27","18880","Card"
"P00433","M835","S433","2022-04-27","18880","UPI"
"P00434","M4590","S434","2022-04-27","18880","Cash"
"P00435","M1193","S435","2022-04-28","2124","Cash"
"P00436","M1984","S436","2022-04-28","5546","Card"
"P00437","M4019","S437","2022-04-28","1770","Card"
"P00438","M555","S438","2022-04-28","2124","UPI"
"P00439","M1468","S439","2022-04-28","18880","Net Banking"
"P00440","M3378","S440","2022-04-29","2124","UPI"
"P00441","M4662","S441","2022-04-29","1770","Card"
"P00442","M994","S442","2022-04-29","22420","Card"
"P00443","M4536","S443","2022-04-29","18880","UPI"
"P00444","M1343","S444","2022-04-30","18880","UPI"
"P00445","M1933","S445","2022-04-30","5074","UPI"
"P00446","M2164","S446","2022-04-30","5074","UPI"
"P00447","M332","S447","2022-04-30","1770","Cash"
"P00448","M3361","S448","2022-04-30","22420","UPI"
"P00449","M4026","S449","2022-04-30","2124","UPI"
"P00450","M4172","S450","2022-04-30","1770","Net Banking"
"P00451","M5400","S451","2022-04-30","5546","Cash"
"P00452","M5607","S452","2022-04-30","1770","Card"
"P00453","M826","S453","2022-04-30","22420","Card"
"P00454","M223","S454","2022-05-01","5074","Net Banking"
"P00455","M252","S455","2022-05-01","5546","Card"
"P00456","M5048","S456","2022-05-01","1770","Cash"
"P00457","M5339","S457","2022-05-01","5546","Card"
"P00458","M1987","S458","2022-05-01","18880","UPI"
"P00459","M1314","S459","2022-05-02","22420","UPI"
"P00460","M1721","S460","2022-05-02","2124","Net Banking"
"P00461","M2309","S461","2022-05-02","1770","Net Banking"
"P00462","M271","S462","2022-05-02","2124","UPI"
"P00463","M3409","S463","2022-05-02","5546","Card"
"P00464","M3424","S464","2022-05-02","1770","Card"
"P00465","M459","S465","2022-05-02","1770","UPI"
"P00466","M5140","S466","2022-05-02","18880","Card"
"P00467","M5378","S467","2022-05-02","5074","Cash"
"P00468","M5448","S468","2022-05-02","22420","Net Banking"
"P00469","M025","S469","2022-05-03","2124","UPI"
"P00470","M1486","S470","2022-05-03","2124","Net Banking"
"P00471","M1549","S471","2022-05-03","22420","Cash"
"P00472","M1813","S472","2022-05-03","5546","Net Banking"
"P00473","M2390","S473","2022-05-03","5546","Net Banking"
"P00474","M2783","S474","2022-05-03","2124","Net Banking"
"P00475","M3113","S475","2022-05-03","5074","UPI"
"P00476","M3757","S476","2022-05-03","5074","Cash"
"P00477","M5308","S477","2022-05-03","1770","Net Banking"
"P00478","M4489","S478","2022-05-03","18880","Cash"
"P00479","M1475","S479","2022-05-04","1770","UPI"
"P00480","M1757","S480","2022-05-04","2124","UPI"
"P00481","M1835","S481","2022-05-04","1770","Card"
"P00482","M3972","S482","2022-05-04","22420","Cash"
"P00483","M4514","S483","2022-05-04","1770","Card"
"P00484","M5009","S484","2022-05-04","22420","Cash"
"P00485","M915","S485","2022-05-04","5546","Net Banking"
"P00486","M1173","S486","2022-05-05","22420","Net Banking"
"P00487","M2591","S487","2022-05-05","22420","UPI"
"P00488","M3784","S488","2022-05-05","1770","UPI"
"P00489","M4466","S489","2022-05-05","1770","Cash"
"P00490","M964","S490","2022-05-05","5546","Card"
"P00491","M1206","S491","2022-05-05","22420","Cash"
"P00492","M3246","S492","2022-05-05","22420","UPI"
"P00493","M4581","S493","2022-05-05","22420","Cash"
"P00494","M002","S494","2022-05-06","5546","Cash"
"P00495","M1710","S495","2022-05-06","5546","UPI"
"P00496","M2040","S496","2022-05-06","5546","UPI"
"P00497","M277","S497","2022-05-06","2124","Cash"
"P00498","M287","S498","2022-05-06","18880","Card"
"P00499","M3063","S499","2022-05-06","1770","Net Banking"
"P00500","M3165","S500","2022-05-06","5074","UPI"
"P00501","M482","S501","2022-05-06","2124","Cash"
"P00502","M5513","S502","2022-05-06","18880","Net Banking"
"P00503","M4039","S503","2022-05-06","22420","Net Banking"
"P00504","M1661","S504","2022-05-07","22420","UPI"
"P00505","M3304","S505","2022-05-07","5074","UPI"
"P00506","M3781","S506","2022-05-07","1770","UPI"
"P00507","M4516","S507","2022-05-07","2124","Card"
"P00508","M590","S508","2022-05-07","2124","UPI"
"P00509","M134","S509","2022-05-08","22420","Cash"
"P00510","M4090","S510","2022-05-08","2124","Card"
"P00511","M4759","S511","2022-05-08","5546","Cash"
"P00512","M2395","S512","2022-05-09","1770","Card"
"P00513","M383","S513","2022-05-09","2124","UPI"
"P00514","M4236","S514","2022-05-09","2124","Card"
