"Subscription_ID","Member_ID","Plan_ID","Start_Date","End_Date","Sub_Amount","Branch_ID"
"S053","M4153","P3","2022-02-11","2022-05-12","4300","B01"
"S054","M1691","P3","2022-02-12","2022-05-13","4300","B01"
"S055","M4608","P1","2022-02-12","2022-05-13","4700","B01"
"S056","M5086","P4","2022-02-12","2023-02-12","19000","B01"
"S057","M937","P5","2022-02-12","2023-02-12","16000","B01"
"S058","M1119","P6","2022-02-13","2022-03-15","1500","B01"
"S059","M2190","P3","2022-02-13","2022-05-14","4300","B01"
"S060","M2229","P5","2022-02-13","2023-02-13","16000","B01"
"S061","M2567","P1","2022-02-13","2022-05-14","4700","B01"
"S062","M5090","P4","2022-02-13","2023-02-13","19000","B01"
"S063","M3428","P3","2022-02-14","2022-05-15","4300","B01"
"S064","M1237","P2","2022-02-15","2022-03-17","1800","B01"
"S065","M1418","P2","2022-02-15","2022-03-17","1800","B01"
"S066","M2241","P3","2022-02-15","2022-05-16","4300","B02"
"S067","M2245","P3","2022-02-15","2022-05-16","4300","B01"
"S068","M3232","P2","2022-02-15","2022-03-17","1800","B01"
"S069","M549","P2","2022-02-15","2022-03-17","1800","B02"
"S070","M2920","P2","2022-02-16","2022-03-18","1800","B01"
"S071","M4923","P6","2022-02-16","2022-03-18","1500","B01"
"S072","M5089","P1","2022-02-16","2022-05-17","4700","B01"
"S073","M5131","P3","2022-02-16","2022-05-17","4300","B02"
"S074","M1662","P6","2022-02-17","2022-03-19","1500","B01"
"S075","M3555","P2","2022-02-17","2022-03-19","1800","B02"
"S076","M528","P4","2022-02-17","2023-02-17","19000","B02"
"S077","M597","P2","2022-02-17","2022-03-19","1800","B02"
"S078","M1361","P4","2022-02-18","2023-02-18","19000","B01"
"S079","M611","P6","2022-02-18","2022-03-20","1500","B01"
"S080","M3943","P5","2022-02-19","2023-02-19","16000","B01"
"S081","M3381","P2","2022-02-20","2022-03-22","1800","B02"
"S082","M3802","P6","2022-02-20","2022-03-22","1500","B01"
"S083","M4840","P4","2022-02-20","2023-02-20","19000","B02"
"S084","M2964","P2","2022-02-21","2022-03-23","1800","B01"
"S085","M313","P2","2022-02-21","2022-03-23","1800","B02"
"S086","M4073","P6","2022-02-21","2022-03-23","1500","B02"
"S087","M5433","P3","2022-02-21","2022-05-22","4300","B02"
"S088","M092","P2","2022-02-22","2022-03-24","1800","B01"
"S089","M2144","P2","2022-02-22","2022-03-24","1800","B01"
"S090","M3110","P4","2022-02-22","2023-02-22","19000","B01"
"S091","M3450","P2","2022-02-22","2022-03-24","1800","B01"
"S092","M3765","P6","2022-02-22","2022-03-24","1500","B02"
"S093","M3906","P2","2022-02-22","2022-03-24","1800","B01"
"S094","M4498","P4","2022-02-22","2023-02-22","19000","B01"
"S095","M3223","P4","2022-02-23","2023-02-23","19000","B02"
"S096","M367","P1","2022-02-23","2022-05-24","4700","B02"
"S097","M4177","P2","2022-02-23","2022-03-25","1800","B01"
"S098","M4382","P6","2022-02-23","2022-03-25","1500","B01"
"S099","M5073","P6","2022-02-23","2022-03-25","1500","B02"
"S100","M5196","P2","2022-02-23","2022-03-25","1800","B02"
"S1000","M523","P2","2022-07-29","2022-08-28","1800","B02"
"S10000","M3175","P2","2024-09-15","2024-10-15","1800","B05"
"S10001","M4562","P6","2024-09-15","2024-10-15","1500","B04"
"S10002","M617","P2","2024-09-15","2024-10-15","1800","B07"
"S10003","M3886","P6","2024-09-15","2024-10-15","1500","B06"
"S10004","M153","P4","2024-09-15","2025-09-15","19000","B06"
"S10005","M4121","P2","2024-09-15","2024-10-15","1800","B07"
"S10006","M1274","P3","2024-09-15","2024-12-14","4300","B03"
"S10007","M499","P2","2024-09-15","2024-10-15","1800","B07"
"S10008","M2594","P3","2024-09-15","2024-12-14","4300","B09"
"S10009","M2686","P4","2024-09-15","2025-09-15","19000","B07"
"S1001","M5400","P2","2022-07-29","2022-08-28","1800","B02"
"S10010","M2864","P2","2024-09-15","2024-10-15","1800","B05"
"S10011","M5426","P5","2024-09-15","2025-09-15","16000","B09"
"S10012","M3075","P5","2024-09-15","2025-09-15","16000","B07"
"S10013","M3869","P4","2024-09-15","2025-09-15","19000","B09"
"S10014","M497","P6","2024-09-15","2024-10-15","1500","B05"
"S10015","M1931","P6","2024-09-15","2024-10-15","1500","B08"
"S10016","M3109","P6","2024-09-15","2024-10-15","1500","B07"
"S10017","M3143","P2","2024-09-15","2024-10-15","1800","B09"
"S10018","M4818","P2","2024-09-15","2024-10-15","1800","B05"
"S10019","M2227","P1","2024-09-15","2024-12-14","4700","B06"
"S1002","M223","P2","2022-07-30","2022-08-29","1800","B02"
"S10020","M4501","P3","2024-09-15","2024-12-14","4300","B06"
"S10021","M1683","P4","2024-09-15","2025-09-15","19000","B09"
"S10022","M2280","P4","2024-09-15","2025-09-15","19000","B08"
"S10023","M2455","P1","2024-09-16","2024-12-15","4700","B01"
"S10024","M3347","P2","2024-09-16","2024-10-16","1800","B01"
"S10025","M4400","P1","2024-09-16","2024-12-15","4700","B01"
"S10026","M1288","P1","2024-09-16","2024-12-15","4700","B01"
"S10027","M4738","P5","2024-09-16","2025-09-16","16000","B01"
"S10028","M640","P5","2024-09-16","2025-09-16","16000","B04"
"S10029","M563","P5","2024-09-16","2025-09-16","16000","B04"
"S1003","M252","P5","2022-07-30","2023-07-30","16000","B02"
"S10030","M4898","P3","2024-09-16","2024-12-15","4300","B03"
"S10031","M1771","P1","2024-09-16","2024-12-15","4700","B04"
"S10032","M2433","P1","2024-09-16","2024-12-15","4700","B05"
"S10033","M4486","P5","2024-09-16","2025-09-16","16000","B05"
"S10034","M307","P5","2024-09-16","2025-09-16","16000","B08"
"S10035","M751","P5","2024-09-16","2025-09-16","16000","B06"
"S10036","M847","P2","2024-09-16","2024-10-16","1800","B06"
"S10037","M1471","P2","2024-09-16","2024-10-16","1800","B09"
"S10038","M1516","P1","2024-09-16","2024-12-15","4700","B06"
"S10039","M1546","P6","2024-09-16","2024-10-16","1500","B08"
"S1004","M4620","P3","2022-07-30","2022-10-28","4300","B01"
"S10040","M2088","P1","2024-09-16","2024-12-15","4700","B09"
"S10041","M3156","P5","2024-09-16","2025-09-16","16000","B08"
"S10042","M4916","P4","2024-09-16","2025-09-16","19000","B06"
"S10043","M1392","P6","2024-09-16","2024-10-16","1500","B05"
"S10044","M1505","P6","2024-09-16","2024-10-16","1500","B08"
"S10045","M1703","P2","2024-09-16","2024-10-16","1800","B08"
"S10046","M4141","P2","2024-09-16","2024-10-16","1800","B08"
"S10047","M2062","P3","2024-09-16","2024-12-15","4300","B06"
"S10048","M2460","P3","2024-09-16","2024-12-15","4300","B07"
"S10049","M1281","P4","2024-09-16","2025-09-16","19000","B05"
"S1005","M4996","P2","2022-07-30","2022-08-29","1800","B01"
"S10050","M1192","P6","2024-09-17","2024-10-17","1500","B01"
"S10051","M4234","P4","2024-09-17","2025-09-17","19000","B01"
"S10052","M5581","P2","2024-09-17","2024-10-17","1800","B02"
"S10053","M3414","P2","2024-09-17","2024-10-17","1800","B02"
"S10054","M1817","P6","2024-09-17","2024-10-17","1500","B04"
"S10055","M2553","P6","2024-09-17","2024-10-17","1500","B03"
"S10056","M1316","P6","2024-09-17","2024-10-17","1500","B05"
"S10057","M2549","P6","2024-09-17","2024-10-17","1500","B04"
"S10058","M001","P4","2024-09-17","2025-09-17","19000","B06"
"S10059","M1815","P6","2024-09-17","2024-10-17","1500","B04"
"S1006","M5339","P5","2022-07-30","2023-07-30","16000","B02"
"S10060","M2095","P5","2024-09-17","2025-09-17","16000","B05"
"S10061","M5476","P5","2024-09-17","2025-09-17","16000","B04"
"S10062","M987","P2","2024-09-17","2024-10-17","1800","B09"
"S10063","M1169","P3","2024-09-17","2024-12-16","4300","B07"
"S10064","M2237","P5","2024-09-17","2025-09-17","16000","B06"
"S10065","M5588","P6","2024-09-17","2024-10-17","1500","B09"
"S10066","M803","P5","2024-09-17","2025-09-17","16000","B06"
"S10067","M1995","P4","2024-09-17","2025-09-17","19000","B08"
"S10068","M2647","P1","2024-09-17","2024-12-16","4700","B07"
"S10069","M3130","P3","2024-09-17","2024-12-16","4300","B05"
"S1007","M3815","P5","2022-07-30","2023-07-30","16000","B02"
"S10070","M3496","P6","2024-09-17","2024-10-17","1500","B05"
"S10071","M3577","P5","2024-09-17","2025-09-17","16000","B06"
"S10072","M3707","P6","2024-09-17","2024-10-17","1500","B06"
"S10073","M4604","P6","2024-09-17","2024-10-17","1500","B08"
"S10074","M5343","P4","2024-09-17","2025-09-17","19000","B05"
"S10075","M5534","P4","2024-09-17","2025-09-17","19000","B06"
"S10076","M1990","P6","2024-09-17","2024-10-17","1500","B08"
"S10077","M3115","P2","2024-09-17","2024-10-17","1800","B03"
"S10078","M3519","P6","2024-09-17","2024-10-17","1500","B08"
"S10079","M3383","P3","2024-09-17","2024-12-16","4300","B09"
"S1008","M3031","P6","2022-07-31","2022-08-30","1500","B02"
"S10080","M4782","P5","2024-09-17","2025-09-17","16000","B07"
"S10081","M3616","P5","2024-09-18","2025-09-18","16000","B01"
"S10082","M4684","P1","2024-09-18","2024-12-17","4700","B01"
"S10083","M5297","P5","2024-09-18","2025-09-18","16000","B03"
"S10084","M558","P6","2024-09-18","2024-10-18","1500","B03"
"S10085","M014","P3","2024-09-18","2024-12-17","4300","B04"
"S10086","M1364","P3","2024-09-18","2024-12-17","4300","B06"
"S10087","M1367","P6","2024-09-18","2024-10-18","1500","B04"
"S10088","M3079","P4","2024-09-18","2025-09-18","19000","B09"
"S10089","M4417","P1","2024-09-18","2024-12-17","4700","B06"
"S1009","M3409","P4","2022-07-31","2023-07-31","19000","B01"
"S10090","M1865","P1","2024-09-18","2024-12-17","4700","B09"
"S10091","M4092","P4","2024-09-18","2025-09-18","19000","B06"
"S10092","M3364","P2","2024-09-18","2024-10-18","1800","B08"
"S10093","M4610","P6","2024-09-18","2024-10-18","1500","B08"
"S10094","M5541","P5","2024-09-18","2025-09-18","16000","B03"
"S10095","M745","P6","2024-09-18","2024-10-18","1500","B06"
"S10096","M949","P4","2024-09-18","2025-09-18","19000","B08"
"S10097","M1072","P4","2024-09-18","2025-09-18","19000","B03"
"S10098","M2705","P5","2024-09-18","2025-09-18","16000","B06"
"S10099","M3979","P4","2024-09-18","2025-09-18","19000","B09"
"S101","M164","P1","2022-02-24","2022-05-25","4700","B02"
"S1010","M5378","P3","2022-07-31","2022-10-29","4300","B02"
"S10100","M4097","P4","2024-09-18","2025-09-18","19000","B06"
"S10101","M1793","P4","2024-09-19","2025-09-19","19000","B02"
"S10102","M2144","P6","2024-09-19","2024-10-19","1500","B01"
"S10103","M3233","P3","2024-09-19","2024-12-18","4300","B02"
"S10104","M4676","P5","2024-09-19","2025-09-19","16000","B01"
"S10105","M4974","P1","2024-09-19","2024-12-18","4700","B02"
"S10106","M366","P5","2024-09-19","2025-09-19","16000","B02"
"S10107","M614","P4","2024-09-19","2025-09-19","19000","B01"
"S10108","M2819","P2","2024-09-19","2024-10-19","1800","B04"
"S10109","M2377","P5","2024-09-19","2025-09-19","16000","B04"
"S1011","M577","P6","2022-07-31","2022-08-30","1500","B02"
"S10110","M4775","P5","2024-09-19","2025-09-19","16000","B03"
"S10111","M5296","P2","2024-09-19","2024-10-19","1800","B03"
"S10112","M715","P1","2024-09-19","2024-12-18","4700","B09"
"S10113","M2431","P4","2024-09-19","2025-09-19","19000","B07"
"S10114","M2443","P1","2024-09-19","2024-12-18","4700","B07"
"S10115","M4480","P3","2024-09-19","2024-12-18","4300","B09"
"S10116","M3087","P6","2024-09-19","2024-10-19","1500","B05"
"S10117","M150","P1","2024-09-19","2024-12-18","4700","B06"
"S10118","M1344","P2","2024-09-19","2024-10-19","1800","B08"
"S10119","M1644","P4","2024-09-19","2025-09-19","19000","B08"
"S1012","M025","P2","2022-08-01","2022-08-31","1800","B02"
"S10120","M2100","P3","2024-09-19","2024-12-18","4300","B09"
"S10121","M2256","P4","2024-09-19","2025-09-19","19000","B09"
"S10122","M3105","P3","2024-09-19","2024-12-18","4300","B08"
"S10123","M4082","P1","2024-09-19","2024-12-18","4700","B08"
"S10124","M4651","P4","2024-09-19","2025-09-19","19000","B08"
"S10125","M5298","P6","2024-09-19","2024-10-19","1500","B08"
"S10126","M5434","P4","2024-09-19","2025-09-19","19000","B09"
"S10127","M4178","P2","2024-09-19","2024-10-19","1800","B08"
"S10128","M045","P1","2024-09-19","2024-12-18","4700","B08"
"S10129","M2308","P1","2024-09-19","2024-12-18","4700","B09"
"S1013","M1369","P4","2022-08-01","2023-08-01","19000","B02"
"S10130","M936","P4","2024-09-19","2025-09-19","19000","B03"
"S10131","M1906","P4","2024-09-19","2025-09-19","19000","B09"
"S10132","M2965","P5","2024-09-19","2025-09-19","16000","B06"
"S10133","M3873","P4","2024-09-19","2025-09-19","19000","B08"
"S10134","M4879","P5","2024-09-20","2025-09-20","16000","B01"
"S10135","M572","P6","2024-09-20","2024-10-20","1500","B02"
"S10136","M2098","P3","2024-09-20","2024-12-19","4300","B04"
"S10137","M359","P2","2024-09-20","2024-10-20","1800","B04"
"S10138","M472","P4","2024-09-20","2025-09-20","19000","B05"
"S10139","M623","P1","2024-09-20","2024-12-19","4700","B01"
"S1014","M1813","P2","2022-08-01","2022-08-31","1800","B02"
"S10140","M485","P3","2024-09-20","2024-12-19","4300","B05"
"S10141","M2768","P4","2024-09-20","2025-09-20","19000","B03"
"S10142","M726","P4","2024-09-20","2025-09-20","19000","B09"
"S10143","M1918","P2","2024-09-20","2024-10-20","1800","B09"
"S10144","M5250","P6","2024-09-20","2024-10-20","1500","B07"
"S10145","M1580","P1","2024-09-20","2024-12-19","4700","B05"
"S10146","M5383","P5","2024-09-20","2025-09-20","16000","B06"
"S10147","M706","P3","2024-09-20","2024-12-19","4300","B07"
"S10148","M3394","P3","2024-09-20","2024-12-19","4300","B09"
"S10149","M2688","P1","2024-09-20","2024-12-19","4700","B04"
"S1015","M2390","P2","2022-08-01","2022-08-31","1800","B02"
"S10150","M863","P4","2024-09-20","2025-09-20","19000","B07"
"S10151","M5120","P2","2024-09-20","2024-10-20","1800","B07"
"S10152","M1417","P4","2024-09-20","2025-09-20","19000","B09"
"S10153","M1750","P2","2024-09-20","2024-10-20","1800","B09"
"S10154","M1949","P5","2024-09-20","2025-09-20","16000","B08"
"S10155","M2142","P3","2024-09-20","2024-12-19","4300","B05"
"S10156","M3439","P2","2024-09-20","2024-10-20","1800","B06"
"S10157","M3978","P1","2024-09-20","2024-12-19","4700","B08"
"S10158","M719","P2","2024-09-20","2024-10-20","1800","B08"
"S10159","M4977","P2","2024-09-20","2024-10-20","1800","B08"
"S1016","M3113","P3","2022-08-01","2022-10-30","4300","B01"
"S10160","M1440","P1","2024-09-20","2024-12-19","4700","B09"
"S10161","M2270","P1","2024-09-20","2024-12-19","4700","B08"
"S10162","M3152","P1","2024-09-20","2024-12-19","4700","B05"
"S10163","M4969","P3","2024-09-20","2024-12-19","4300","B08"
"S10164","M317","P5","2024-09-20","2025-09-20","16000","B08"
"S10165","M1592","P5","2024-09-20","2025-09-20","16000","B09"
"S10166","M2411","P4","2024-09-20","2025-09-20","19000","B07"
"S10167","M2851","P5","2024-09-20","2025-09-20","16000","B05"
"S10168","M208","P5","2024-09-21","2025-09-21","16000","B02"
"S10169","M4206","P5","2024-09-21","2025-09-21","16000","B02"
"S1017","M3200","P1","2022-08-01","2022-10-30","4700","B02"
"S10170","M5305","P3","2024-09-21","2024-12-20","4300","B02"
"S10171","M1998","P2","2024-09-21","2024-10-21","1800","B01"
"S10172","M573","P3","2024-09-21","2024-12-20","4300","B05"
"S10173","M3550","P4","2024-09-21","2025-09-21","19000","B04"
"S10174","M426","P2","2024-09-21","2024-10-21","1800","B06"
"S10175","M1400","P3","2024-09-21","2024-12-20","4300","B05"
"S10176","M1458","P2","2024-09-21","2024-10-21","1800","B05"
"S10177","M3021","P5","2024-09-21","2025-09-21","16000","B06"
"S10178","M5557","P1","2024-09-21","2024-12-20","4700","B06"
"S10179","M2583","P2","2024-09-21","2024-10-21","1800","B09"
"S1018","M3757","P3","2022-08-01","2022-10-30","4300","B01"
"S10180","M4128","P2","2024-09-21","2024-10-21","1800","B06"
"S10181","M2166","P5","2024-09-21","2025-09-21","16000","B09"
"S10182","M2805","P1","2024-09-21","2024-12-20","4700","B09"
"S10183","M3019","P4","2024-09-21","2025-09-21","19000","B08"
"S10184","M3578","P2","2024-09-21","2024-10-21","1800","B09"
"S10185","M167","P2","2024-09-21","2024-10-21","1800","B06"
"S10186","M209","P2","2024-09-21","2024-10-21","1800","B03"
"S10187","M1243","P6","2024-09-21","2024-10-21","1500","B06"
"S10188","M4451","P2","2024-09-21","2024-10-21","1800","B07"
"S10189","M4653","P6","2024-09-21","2024-10-21","1500","B07"
"S1019","M4135","P6","2022-08-01","2022-08-31","1500","B02"
"S10190","M1539","P1","2024-09-21","2024-12-20","4700","B08"
"S10191","M2261","P1","2024-09-21","2024-12-20","4700","B06"
"S10192","M4044","P1","2024-09-21","2024-12-20","4700","B08"
"S10193","M628","P4","2024-09-21","2025-09-21","19000","B07"
"S10194","M1981","P5","2024-09-21","2025-09-21","16000","B08"
"S10195","M2505","P5","2024-09-21","2025-09-21","16000","B08"
"S10196","M4122","P4","2024-09-22","2025-09-22","19000","B02"
"S10197","M1038","P6","2024-09-22","2024-10-22","1500","B04"
"S10198","M5108","P2","2024-09-22","2024-10-22","1800","B01"
"S10199","M5202","P4","2024-09-22","2025-09-22","19000","B05"
"S102","M196","P6","2022-02-24","2022-03-26","1500","B02"
"S1020","M4949","P6","2022-08-01","2022-08-31","1500","B01"
"S10200","M595","P2","2024-09-22","2024-10-22","1800","B05"
"S10201","M5288","P2","2024-09-22","2024-10-22","1800","B03"
"S10202","M4830","P5","2024-09-22","2025-09-22","16000","B05"
"S10203","M3313","P4","2024-09-22","2025-09-22","19000","B04"
"S10204","M2771","P1","2024-09-22","2024-12-21","4700","B06"
"S10205","M3584","P3","2024-09-22","2024-12-21","4300","B06"
"S10206","M5384","P4","2024-09-22","2025-09-22","19000","B07"
"S10207","M5509","P5","2024-09-22","2025-09-22","16000","B06"
"S10208","M788","P6","2024-09-22","2024-10-22","1500","B05"
"S10209","M3318","P2","2024-09-22","2024-10-22","1800","B04"
"S1021","M1757","P5","2022-08-02","2023-08-02","16000","B01"
"S10210","M4820","P1","2024-09-22","2024-12-21","4700","B05"
"S10211","M019","P2","2024-09-22","2024-10-22","1800","B09"
"S10212","M1278","P2","2024-09-22","2024-10-22","1800","B09"
"S10213","M1907","P3","2024-09-22","2024-12-21","4300","B08"
"S10214","M3587","P1","2024-09-22","2024-12-21","4700","B03"
"S10215","M591","P2","2024-09-22","2024-10-22","1800","B09"
"S10216","M3859","P2","2024-09-22","2024-10-22","1800","B03"
"S10217","M3816","P1","2024-09-22","2024-12-21","4700","B03"
"S10218","M274","P5","2024-09-22","2025-09-22","16000","B06"
"S10219","M1756","P5","2024-09-22","2025-09-22","16000","B07"
"S1022","M2043","P2","2022-08-02","2022-09-01","1800","B01"
"S10220","M1765","P5","2024-09-22","2025-09-22","16000","B08"
"S10221","M1083","P5","2024-09-23","2025-09-23","16000","B01"
"S10222","M1853","P5","2024-09-23","2025-09-23","16000","B01"
"S10223","M5022","P1","2024-09-23","2024-12-22","4700","B02"
"S10224","M5443","P3","2024-09-23","2024-12-22","4300","B01"
"S10225","M2316","P1","2024-09-23","2024-12-22","4700","B04"
"S10226","M218","P1","2024-09-23","2024-12-22","4700","B04"
"S10227","M535","P3","2024-09-23","2024-12-22","4300","B04"
"S10228","M3372","P6","2024-09-23","2024-10-23","1500","B02"
"S10229","M1442","P4","2024-09-23","2025-09-23","19000","B04"
"S1023","M3317","P1","2022-08-02","2022-10-31","4700","B02"
"S10230","M4254","P2","2024-09-23","2024-10-23","1800","B04"
"S10231","M1406","P6","2024-09-23","2024-10-23","1500","B04"
"S10232","M2502","P6","2024-09-23","2024-10-23","1500","B03"
"S10233","M3475","P5","2024-09-23","2025-09-23","16000","B04"
"S10234","M1873","P4","2024-09-23","2025-09-23","19000","B09"
"S10235","M1351","P5","2024-09-23","2025-09-23","16000","B05"
"S10236","M1938","P5","2024-09-23","2025-09-23","16000","B05"
"S10237","M973","P6","2024-09-23","2024-10-23","1500","B09"
"S10238","M3751","P2","2024-09-23","2024-10-23","1800","B09"
"S10239","M2709","P4","2024-09-23","2025-09-23","19000","B07"
"S1024","M445","P2","2022-08-02","2022-09-01","1800","B01"
"S10240","M3276","P4","2024-09-23","2025-09-23","19000","B07"
"S10241","M4670","P6","2024-09-23","2024-10-23","1500","B08"
"S10242","M5234","P3","2024-09-23","2024-12-22","4300","B05"
"S10243","M5306","P4","2024-09-23","2025-09-23","19000","B09"
"S10244","M991","P6","2024-09-23","2024-10-23","1500","B07"
"S10245","M1111","P6","2024-09-23","2024-10-23","1500","B08"
"S10246","M5432","P6","2024-09-23","2024-10-23","1500","B07"
"S10247","M257","P4","2024-09-23","2025-09-23","19000","B08"
"S10248","M5363","P4","2024-09-23","2025-09-23","19000","B03"
"S10249","M5519","P4","2024-09-23","2025-09-23","19000","B08"
"S1025","M4811","P2","2022-08-02","2022-09-01","1800","B01"
"S10250","M025","P5","2024-09-24","2025-09-24","16000","B02"
"S10251","M1813","P2","2024-09-24","2024-10-24","1800","B02"
"S10252","M3200","P3","2024-09-24","2024-12-23","4300","B02"
"S10253","M4019","P2","2024-09-24","2024-10-24","1800","B01"
"S10254","M496","P5","2024-09-24","2025-09-24","16000","B01"
"S10255","M5619","P3","2024-09-24","2024-12-23","4300","B01"
"S10256","M5063","P5","2024-09-24","2025-09-24","16000","B04"
"S10257","M1604","P3","2024-09-24","2024-12-23","4300","B01"
"S10258","M346","P3","2024-09-24","2024-12-23","4300","B01"
"S10259","M1686","P6","2024-09-24","2024-10-24","1500","B04"
"S1026","M915","P2","2022-08-02","2022-09-01","1800","B01"
"S10260","M5233","P1","2024-09-24","2024-12-23","4700","B05"
"S10261","M061","P1","2024-09-24","2024-12-23","4700","B05"
"S10262","M3670","P2","2024-09-24","2024-10-24","1800","B05"
"S10263","M4941","P1","2024-09-24","2024-12-23","4700","B03"
"S10264","M1552","P2","2024-09-24","2024-10-24","1800","B03"
"S10265","M4000","P3","2024-09-24","2024-12-23","4300","B03"
"S10266","M4259","P4","2024-09-24","2025-09-24","19000","B05"
"S10267","M3044","P3","2024-09-24","2024-12-23","4300","B06"
"S10268","M2818","P4","2024-09-24","2025-09-24","19000","B06"
"S10269","M410","P4","2024-09-24","2025-09-24","19000","B05"
"S1027","M4415","P5","2022-08-02","2023-08-02","16000","B02"
"S10270","M4693","P1","2024-09-24","2024-12-23","4700","B07"
"S10271","M519","P3","2024-09-24","2024-12-23","4300","B09"
"S10272","M3422","P1","2024-09-24","2024-12-23","4700","B04"
"S10273","M583","P6","2024-09-24","2024-10-24","1500","B07"
"S10274","M2198","P3","2024-09-24","2024-12-23","4300","B09"
"S10275","M2426","P5","2024-09-24","2025-09-24","16000","B06"
"S10276","M123","P1","2024-09-24","2024-12-23","4700","B06"
"S10277","M724","P1","2024-09-24","2024-12-23","4700","B06"
"S10278","M3101","P1","2024-09-24","2024-12-23","4700","B08"
"S10279","M4880","P3","2024-09-24","2024-12-23","4300","B09"
"S1028","M2538","P5","2022-08-03","2023-08-03","16000","B02"
"S10280","M110","P6","2024-09-24","2024-10-24","1500","B08"
"S10281","M1427","P2","2024-09-24","2024-10-24","1800","B09"
"S10282","M5410","P6","2024-09-24","2024-10-24","1500","B08"
"S10283","M4662","P3","2024-09-25","2024-12-24","4300","B02"
"S10284","M4800","P5","2024-09-25","2025-09-25","16000","B01"
"S10285","M915","P3","2024-09-25","2024-12-24","4300","B01"
"S10286","M994","P4","2024-09-25","2025-09-25","19000","B01"
"S10287","M511","P3","2024-09-25","2024-12-24","4300","B04"
"S10288","M3444","P1","2024-09-25","2024-12-24","4700","B01"
"S10289","M2753","P5","2024-09-25","2025-09-25","16000","B04"
"S1029","M3581","P4","2022-08-03","2023-08-03","19000","B02"
"S10290","M3689","P3","2024-09-25","2024-12-24","4300","B04"
"S10291","M3171","P2","2024-09-25","2024-10-25","1800","B04"
"S10292","M5393","P5","2024-09-25","2025-09-25","16000","B02"
"S10293","M265","P2","2024-09-25","2024-10-25","1800","B04"
"S10294","M1202","P4","2024-09-25","2025-09-25","19000","B04"
